C:\self-driving-lab\data\IMG\center_2018_11_01_13_41_49_820.jpg,C:\self-driving-lab\data\IMG\left_2018_11_01_13_41_49_820.jpg,C:\self-driving-lab\data\IMG\right_2018_11_01_13_41_49_820.jpg,0,0,0,9.448987E-07,179.81,1.683794,89.85901
C:\self-driving-lab\data\IMG\center_2018_11_01_13_41_49_890.jpg,C:\self-driving-lab\data\IMG\left_2018_11_01_13_41_49_890.jpg,C:\self-driving-lab\data\IMG\right_2018_11_01_13_41_49_890.jpg,0,0,0,6.230249E-06,179.81,1.683794,89.85901
C:\self-driving-lab\data\IMG\center_2018_11_01_13_41_49_960.jpg,C:\self-driving-lab\data\IMG\left_2018_11_01_13_41_49_960.jpg,C:\self-driving-lab\data\IMG\right_2018_11_01_13_41_49_960.jpg,0,0,0,2.652171E-07,179.81,1.683794,89.85901
C:\self-driving-lab\data\IMG\center_2018_11_01_13_41_50_032.jpg,C:\self-driving-lab\data\IMG\left_2018_11_01_13_41_50_032.jpg,C:\self-driving-lab\data\IMG\right_2018_11_01_13_41_50_032.jpg,0,0,0,1.252472E-06,179.81,1.683794,89.85901
C:\self-driving-lab\data\IMG\center_2018_11_01_13_41_50_102.jpg,C:\self-driving-lab\data\IMG\left_2018_11_01_13_41_50_102.jpg,C:\self-driving-lab\data\IMG\right_2018_11_01_13_41_50_102.jpg,0,0,0,4.900353E-06,179.81,1.683794,89.85901
C:\self-driving-lab\data\IMG\center_2018_11_01_13_41_50_173.jpg,C:\self-driving-lab\data\IMG\left_2018_11_01_13_41_50_173.jpg,C:\self-driving-lab\data\IMG\right_2018_11_01_13_41_50_173.jpg,0,0,0,2.784501E-07,179.81,1.683794,89.85901
C:\self-driving-lab\data\IMG\center_2018_11_01_13_41_50_243.jpg,C:\self-driving-lab\data\IMG\left_2018_11_01_13_41_50_243.jpg,C:\self-driving-lab\data\IMG\right_2018_11_01_13_41_50_243.jpg,0,0.2328347,0,0.1323337,179.8103,1.683793,89.86116
C:\self-driving-lab\data\IMG\center_2018_11_01_13_41_50_315.jpg,C:\self-driving-lab\data\IMG\left_2018_11_01_13_41_50_315.jpg,C:\self-driving-lab\data\IMG\right_2018_11_01_13_41_50_315.jpg,0,0.4662552,0,0.4943238,179.8118,1.683774,89.87315
C:\self-driving-lab\data\IMG\center_2018_11_01_13_41_50_385.jpg,C:\self-driving-lab\data\IMG\left_2018_11_01_13_41_50_385.jpg,C:\self-driving-lab\data\IMG\right_2018_11_01_13_41_50_385.jpg,-0.05,0.5018592,0,0.8403715,179.8141,1.683736,89.89272
C:\self-driving-lab\data\IMG\center_2018_11_01_13_41_50_456.jpg,C:\self-driving-lab\data\IMG\left_2018_11_01_13_41_50_456.jpg,C:\self-driving-lab\data\IMG\right_2018_11_01_13_41_50_456.jpg,-0.25,0.2673966,0,1.225472,179.8176,1.683648,89.93211
C:\self-driving-lab\data\IMG\center_2018_11_01_13_41_50_527.jpg,C:\self-driving-lab\data\IMG\left_2018_11_01_13_41_50_527.jpg,C:\self-driving-lab\data\IMG\right_2018_11_01_13_41_50_527.jpg,-0.4,0.08810798,0,1.285538,179.8191,1.683567,89.96621
C:\self-driving-lab\data\IMG\center_2018_11_01_13_41_50_601.jpg,C:\self-driving-lab\data\IMG\left_2018_11_01_13_41_50_601.jpg,C:\self-driving-lab\data\IMG\right_2018_11_01_13_41_50_601.jpg,-0.4589649,0.1209833,0,1.361845,179.8195,1.683467,90.01381
C:\self-driving-lab\data\IMG\center_2018_11_01_13_41_50_672.jpg,C:\self-driving-lab\data\IMG\left_2018_11_01_13_41_50_672.jpg,C:\self-driving-lab\data\IMG\right_2018_11_01_13_41_50_672.jpg,-0.2834377,0.2965105,0,1.513349,179.8204,1.683412,90.05254
C:\self-driving-lab\data\IMG\center_2018_11_01_13_41_50_744.jpg,C:\self-driving-lab\data\IMG\left_2018_11_01_13_41_50_744.jpg,C:\self-driving-lab\data\IMG\right_2018_11_01_13_41_50_744.jpg,-0.04659282,0.5333555,0,1.940533,179.8251,1.683348,90.11529
C:\self-driving-lab\data\IMG\center_2018_11_01_13_41_50_817.jpg,C:\self-driving-lab\data\IMG\left_2018_11_01_13_41_50_817.jpg,C:\self-driving-lab\data\IMG\right_2018_11_01_13_41_50_817.jpg,-0.05,0.7712497,0,2.56921,179.834,1.683262,90.19739
C:\self-driving-lab\data\IMG\center_2018_11_01_13_41_50_889.jpg,C:\self-driving-lab\data\IMG\left_2018_11_01_13_41_50_889.jpg,C:\self-driving-lab\data\IMG\right_2018_11_01_13_41_50_889.jpg,-0.2,0.9465216,0,3.189134,179.841,1.683164,90.27683
C:\self-driving-lab\data\IMG\center_2018_11_01_13_41_50_961.jpg,C:\self-driving-lab\data\IMG\left_2018_11_01_13_41_50_961.jpg,C:\self-driving-lab\data\IMG\right_2018_11_01_13_41_50_961.jpg,-0.3781239,1,0,4.114503,179.8471,1.682976,90.41142
C:\self-driving-lab\data\IMG\center_2018_11_01_13_41_51_034.jpg,C:\self-driving-lab\data\IMG\left_2018_11_01_13_41_51_034.jpg,C:\self-driving-lab\data\IMG\right_2018_11_01_13_41_51_034.jpg,-0.5281239,1,0,4.795999,179.8476,1.682794,90.53399
C:\self-driving-lab\data\IMG\center_2018_11_01_13_41_51_106.jpg,C:\self-driving-lab\data\IMG\left_2018_11_01_13_41_51_106.jpg,C:\self-driving-lab\data\IMG\right_2018_11_01_13_41_51_106.jpg,-0.7281239,1,0,5.678705,179.8385,1.682512,90.72508
C:\self-driving-lab\data\IMG\center_2018_11_01_13_41_51_174.jpg,C:\self-driving-lab\data\IMG\left_2018_11_01_13_41_51_174.jpg,C:\self-driving-lab\data\IMG\right_2018_11_01_13_41_51_174.jpg,-0.6594344,1,0,6.347964,179.8233,1.682286,90.88854
C:\self-driving-lab\data\IMG\center_2018_11_01_13_41_51_241.jpg,C:\self-driving-lab\data\IMG\left_2018_11_01_13_41_51_241.jpg,C:\self-driving-lab\data\IMG\right_2018_11_01_13_41_51_241.jpg,-0.4346824,1,0,7.272889,179.8018,1.68198,91.1353
C:\self-driving-lab\data\IMG\center_2018_11_01_13_41_51_308.jpg,C:\self-driving-lab\data\IMG\left_2018_11_01_13_41_51_308.jpg,C:\self-driving-lab\data\IMG\right_2018_11_01_13_41_51_308.jpg,-0.233089,1,0,7.959335,179.789,1.681752,91.34229
C:\self-driving-lab\data\IMG\center_2018_11_01_13_41_51_377.jpg,C:\self-driving-lab\data\IMG\left_2018_11_01_13_41_51_377.jpg,C:\self-driving-lab\data\IMG\right_2018_11_01_13_41_51_377.jpg,-0.00812705,1,0,8.855647,179.7805,1.681451,91.64691
C:\self-driving-lab\data\IMG\center_2018_11_01_13_41_51_447.jpg,C:\self-driving-lab\data\IMG\left_2018_11_01_13_41_51_447.jpg,C:\self-driving-lab\data\IMG\right_2018_11_01_13_41_51_447.jpg,0,1,0,9.524034,179.7808,1.681229,91.89639
C:\self-driving-lab\data\IMG\center_2018_11_01_13_41_51_521.jpg,C:\self-driving-lab\data\IMG\left_2018_11_01_13_41_51_521.jpg,C:\self-driving-lab\data\IMG\right_2018_11_01_13_41_51_521.jpg,0,1,0,10.41384,179.7846,1.680936,92.25688
C:\self-driving-lab\data\IMG\center_2018_11_01_13_41_51_594.jpg,C:\self-driving-lab\data\IMG\left_2018_11_01_13_41_51_594.jpg,C:\self-driving-lab\data\IMG\right_2018_11_01_13_41_51_594.jpg,0,1,0,11.07702,179.7885,1.680718,92.54804
